Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/H74ello5/status/1725338113784811520,????? ???? ??????Reload,https://twitter.com/H74ello5,2023-11-17,Israeli occupation soldiers arrest a Palestinian garbage collector while he is doing his work and use him as a human shield during a raid#Israel #Hamas #Palestine #Gaza#IsraelTerrorism #IsraelIsATerrorist#MissUniverse2023#AlShifaHospital #podcastandchill#ViratKohli??,,https://twitter.com/H74ello5/status/1725338113784811520,False,9,17,21,7.5K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1725130036800266506,Quds News Network,https://twitter.com/QudsNen,2023-11-16,"Director of Al-Shifa: ""The occupation forces kidnapped all the bodies that were in the morgues and in the streets, and we do not know what they will do with them.""#Gaza #Israel",,https://twitter.com/QudsNen/status/1725130036800266506,False,450,8.4K,8.4K,568K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ZechariahSharab/status/1724838080018800840,Zechariah Shar'abi | ????? | ?????Reload???? ????? ??? ???,https://twitter.com/ZechariahSharab,2023-11-15,"#Hamas terrorists in #Gaza are surrenderingOn Oct 7th, they were slaughtering and burning families in their sleep, raping, beheading, and kidnappingNow they are captured and standing in honor of #Israel's national anthem#HamasisISIS",,https://twitter.com/ZechariahSharab/status/1724838080018800840,False,166,447,1.3K,69K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/HananyaNaftali/status/1725288430555242913,Hananya Naftali,https://twitter.com/HananyaNaftali,2023-11-16,"Congresswoman Rashida Tlaib is a member of a secret Facebook group where Hamas terrorists are glorified.This is not freedom of speech, it's freedom to hate. https://foxnews.com/politics/rashida-tlaib-member-secret-facebook-group-where-hamas-terrorists-glorified… #Israel #Hamas",https://pbs.twimg.com/card_img/1724717035970842625/ZfvOcrWG?format=jpg&name=small,https://twitter.com/HananyaNaftali/status/1725288430555242913,False,316,694,1.7K,39K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/whz_idk/status/1725040387008409657,Free Palestine Reload,https://twitter.com/whz_idk,2023-11-16,They keep embarrassing themselves  ..#AlShifaHospital #IsraelTerrorism #Palestine_Genocide #Israel #CeasefireNowInGaza  #???_?????,,https://twitter.com/whz_idk/status/1725040387008409657,False,39,193,289,48K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/xxfreespirtxx/status/1725068808623116351,???? ??Reload,https://twitter.com/xxfreespirtxx,2023-11-16,Anyone still doubting they're nuts? Seriously messed up. They're truly mentally ill.#Gaza #FreePalaestine  #AlShifaHospital#Biden #???_????? #Israel #IsraelIsATerrorist,,https://twitter.com/xxfreespirtxx/status/1725068808623116351,False,8,53,31,11K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ghadaoueiss/status/1724854772228817074,Ghada Oueiss ???? ????Reload????? ??????,https://twitter.com/ghadaoueiss,2023-11-15,"#Israel 's ""achievement""",,https://twitter.com/ghadaoueiss/status/1724854772228817074,False,67,1.1K,1.3K,35K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/HananyaNaftali/status/1725288430555242913,Hananya Naftali,https://twitter.com/HananyaNaftali,2023-11-16,"Congresswoman Rashida Tlaib is a member of a secret Facebook group where Hamas terrorists are glorified.This is not freedom of speech, it's freedom to hate. https://foxnews.com/politics/rashida-tlaib-member-secret-facebook-group-where-hamas-terrorists-glorified… #Israel #Hamas",https://pbs.twimg.com/card_img/1724717035970842625/ZfvOcrWG?format=jpg&name=small,https://twitter.com/HananyaNaftali/status/1725288430555242913,False,316,694,696,1.7K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/Alissa4TheUSA/status/1724827718389260532,???????Reload,https://twitter.com/Alissa4TheUSA,2023-11-15,This Is A Must Watch#TRUMP2024ToSaveAmerica #FJB #Afghanistan #TRUMPWON #eastpalestine #Ukraine #Israel #PresidentTrump #mauifires #Resign #BidenBorderInvasion #Treason,,https://twitter.com/Alissa4TheUSA/status/1724827718389260532,False,54,278,322,46K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/TheBeenibaby/status/1725017920466489513,thebeenReload,https://twitter.com/TheBeenibaby,2023-11-16,It’s just plain embarrassing at this point… #IsraelIsATerrorist #IsraeliPropaganda #Israeli #israel,,https://twitter.com/TheBeenibaby/status/1725017920466489513,False,3,14,18,3.3K
